,2010.01 월,2010.02 월,2010.03 월,2010.04 월,2010.05 월,2010.06 월,2010.07 월,2010.08 월,2010.09 월,2010.10 월,2010.11 월,2010.12 월,2011.01 월,2011.02 월,2011.03 월,2011.04 월,2011.05 월,2011.06 월,2011.07 월,2011.08 월,2011.09 월,2011.10 월,2011.11 월,2011.12 월,2012.01 월,2012.02 월,2012.03 월,2012.04 월,2012.05 월,2012.06 월,2012.07 월,2012.08 월,2012.09 월,2012.10 월,2012.11 월,2012.12 월,2013.01 월,2013.02 월,2013.03 월,2013.04 월,2013.05 월,2013.06 월,2013.07 월,2013.08 월,2013.09 월,2013.10 월,2013.11 월,2013.12 월,2014.01 월,2014.02 월,2014.03 월,2014.04 월,2014.05 월,2014.06 월,2014.07 월,2014.08 월,2014.09 월,2014.10 월,2014.11 월,2014.12 월,2015.01 월,2015.02 월,2015.03 월,2015.04 월,2015.05 월,2015.06 월,2015.07 월,2015.08 월,2015.09 월,2015.10 월,2015.11 월,2015.12 월,2016.01 월,2016.02 월,2016.03 월,2016.04 월,2016.05 월,2016.06 월,2016.07 월,2016.08 월,2016.09 월,2016.10 월,2016.11 월,2016.12 월,2017.01 월,2017.02 월,2017.03 월,2017.04 월,2017.05 월,2017.06 월,2017.07 월,2017.08 월,2017.09 월,2017.10 월,2017.11 월,2017.12 월,2018.01 월,2018.02 월,2018.03 월,2018.04 월,2018.05 월,2018.06 월,2018.07 월,2018.08 월,2018.09 월,2018.10 월,2018.11 월,2018.12 월,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월,2022.07 월,2022.08 월,2022.09 월,2022.10 월,2022.11 월,2022.12 월
양평,,,,,,,,,,,,,0.7,0.9,0.5,0.5,0.4,0.4,0.5,0.5,0.3,0.4,0.6,0.6,0.8,0.6,0.5,0.4,0.5*,0.4,0.4,0.3,0.4,0.5,0.6,0.7,0.9,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.7,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.5,0.6,0.7,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5
도평균,0.9,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.7,0.8,0.8,0.9,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.7,0.8,0.9,0.7,0.6,0.6,0.5,0.5,0.4,0.5,0.4,0.5,0.6,0.8,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.7,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5
양구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6*,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.3,0.4,0.5,0.4,0.3,0.3,0.4,0.6
고성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.4,0.5,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.3,0.3
정선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,0.4,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.5,0.7,0.6,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.5,0.5,0.4,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.4
횡성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2,0.6,0.6,0.5,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.4*,0.4,0.4,0.4,0.3,0.4,0.3,0.5,0.5,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.5,0.5,0.4,0.5,0.4,0.3,0.4,0.3,0.3,0.5,0.6
춘천,1,0.8,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.5,0.8,0.9,0.9,1,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.5,0.7,0.7,0.9,0.8,0.6,0.4,0.4,0.3,0.3,0.4,0.4,0.6,0.8,1,1.2,0.9,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.5,0.7,1,1.1,0.9,0.6,0.5,0.4,0.3,0.5,0.5,0.6,0.6,0.8,0.9,1,0.8,0.7,0.5,0.4,0.3,0.3,0.4,0.5,0.6,0.8,1.0*,0.9**,0.8**,0.6**,0.4**,0.3**,0.3**,0.3**,0.4**,0.4**,0.6**,0.9**,0.9**,0.8**,0.8,0.6,0.4,0.4,0.3,0.4,0.3,0.5,0.5,0.6,0.8,0.8,0.7,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.6,0.7,0.9,0.7,0.6,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.6,0.7,0.7,0.6,0.5,0.4,0.3,0.4,0.4,0.4,0.4*,0.5*,0.6*,0.6,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.5,0.5,0.3,0.3,0.3,0.3,0.4,0.2,0.3,0.5,0.6
강릉,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.7,0.5,0.6,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.3,0.2,0.3,0.4,0.5,0.8,1.2,0.7,0.7,0.8,0.5,0.5,0.3,0.2,0.3,0.2,0.7,0.7,0.8,0.6,0.8,0.6,0.6,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.7,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.2,0.3,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.2**,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.2,0.2*,,0.4,0.5,0.6*,0.4,0.3,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.5,0.3,0.4,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5
원주,1.2,0.9,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.6,1,1.2,1.5,1.5,0.8,0.6,0.5,0.5,0.4,0.4,0.5,0.8,0.9,1.1,1.3,1.1,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0.7,1,1.3,1.6,1.2,0.9,0.8,0.6,0.4,0.4,0.5,0.4,0.6,1.2,1.6,1.6,1.2,1,0.6,0.5,0.4,0.3,0.4,0.5,0.5,1.1,1.2,1.3,1.1,0.8,0.6,0.5,0.4,0.3,0.4,0.4,0.6,0.8,1.1,1.2,0.9,0.7,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.8,1,1,0.8,0.6,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.7,0.9,0.9,0.9,0.6,0.4,0.3,0.2,0.2,0.2,0.2,0.4*,0.6,0.8,0.9,0.7,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.6,0.6,0.5,0.5,0.4*,0.4*,0.3,0.3,0.3,0.4,0.5,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.6
동해,0.7,0.6,0.7,0.8,0.6,0.7,0.6,0.6,0.6,0.7,0.8,0.7,0.6,0.9,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.6,0.4,0.5,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.7,0.5,0.5,0.3,0.4,0.5,0.6,0.7,1,0.7,0.7,0.8,0.6,0.6,0.5,0.3,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.4,0.4,0.3,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4*,0.7**,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4*,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.4,0.2,0.3,0.4,0.3
삼척,0.7,0.7,0.6,0.6,0.4,0.4,0.3,0.5,0.5,0.5,0.7,0.7,0.6,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.7,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.7,0.6,0.5,0.4,0.4,0.5,0.6,0.7,1.1,0.8,0.8,0.7,0.6,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.8,0.7,0.8,0.7,0.7,0.5,0.4,0.5,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.5,0.6,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3**,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.3
평창,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.6,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.6,0.4,0.5,0.4,0.4,0.3,0.4,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.3,0.4,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.6,0.5,0.4,0.3,0.4,0.3,0.3*,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5
양양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.5,0.4,0.5,0.5,0.3,0.4,0.4,0.4,0.4,0.4,0.4*,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.5*,0.4,0.4*,0.4,0.2,0.3,0.4,0.4
속초,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6*,0.7,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.5,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.4*,0.4,0.4,0.3
영월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.6,0.7,0.3,0.3,0.4,0.5
철원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.6,0.6,0.6,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.4,0.2
홍천,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.5,0.5,0.4,0.3,0.4,0.3,0.4,0.3,0.6,0.6,0.6,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.6,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.5
화천,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.5,0.5,0.3,0.3,0.4,0.4,0.4,0.5,0.7,0.6,0.5,0.4,0.5**,0.4,0.4,0.5*,0.4,0.3,0.4,0.4,0.6,0.5,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.3,0.3,0.3*,0.3,0.3,0.3,0.3,0.3,0.4,0.4
태백,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.5,0.4,0.3,0.3,0.2,0.3,0.2,0.5,0.4,0.5,0.8,0.6,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.5,0.5,0.7
인제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4*,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.6,0.4,0.4,0.4*,0.3,0.5,0.5,0.4,0.3,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3
도평균,0.9,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.8,0.9,0.9,1,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.7,0.7,0.9,0.8,0.7,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.8,0.9,1.1,0.9,0.7,0.6,0.5,0.3,0.4,0.4,0.5,0.6,1,1.1,1.1,0.9,0.7,0.6,0.4,0.3,0.4,0.4,0.5,0.5,0.9,0.9,1,0.8,0.7,0.5,0.4,0.4,0.3,0.4,0.5,0.6,0.7,0.9,0.9,0.7,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,0.7,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.4*,0.5,0.6,0.7,0.7,0.7,0.5,0.4,0.3,0.3,0.2,0.3,0.3,0.4*,0.6,0.6,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5
괴산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.4,0.4
음성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4
청주,1,0.7,0.6,0.6,0.4,0.4,0.3,0.3,0.4,0.5,0.7,0.8,0.7,0.9,0.5,0.4,0.3,0.4,0.3,0.4,0.3,0.5,0.6,0.8,0.8,0.8,0.6,0.5,0.4,0.3,0.4,0.3*,0.3,0.4,0.6,0.8,1.1,0.7,0.6,0.5,0.4,0.4,0.3*,0.4,0.4,0.4,0.7,0.8,0.9*,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.8,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.7,0.6,0.6,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,0.6,0.7,0.5,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.4,0.4
충주,1.4,1.1,0.7,0.6,0.4,0.3,0.3,0.3,0.3,0.5,1,1.2,1,1.3,0.7,0.6,0.4,0.3,0.3,0.3,0.3,0.5,0.9,1,1.2,1,0.7,0.5,0.3,0.3,0.3,0.2,0.3,0.4,0.6,0.9,1.1,0.7,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.7,0.9,1,0.8,0.6,0.4,0.3,0.3,0.2,0.3,0.4,0.5,0.8,0.8,1,0.8,0.6,0.4,0.3,0.3,0.2,0.2,0.2,0.4,0.5,0.8,0.7,0.7,0.6,0.4,0.4,0.3,0.2,0.2,0.3,0.4,0.6,0.7,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.2**,0.4,0.4,0.6,0.8,0.8,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.8,0.7,0.6,0.4,0.4,0.3**,0.3,0.5,0.4,0.5,0.6,0.7,0.7,0.6,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.5,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.6
제천,1.3,1.2,0.7,0.6,0.5,0.5,0.3,0.4,0.4,0.7,1.1,1.3,1.2,1.4,0.7,0.6,0.4,0.4,0.3,0.3,0.4,0.6,1,1.1,1.3,1.1,0.8,0.6,0.4,0.4,0.4,0.3,0.5,0.6,1,1.4,1.7,1.1,0.9,0.6,0.5,0.4,0.3,0.4,0.5,**,0.8,0.8,0.9,0.7,0.7,0.5,0.4,0.3,0.5,0.4,0.4,0.6,0.9,1.1,1,0.9,1,0.5,0.6,0.4,0.3,0.4,0.4,0.6,0.7,1,1,0.9,0.8,0.6,0.6,0.3,0.4,0.4,0.5,0.6,0.9,1,1,0.9,0.8,0.6,0.5,0.5,0.4,0.4,0.5,0.6,0.9,1.1,1.1,1,0.8,0.6,0.5,0.4,0.2,0.4,0.3,0.5,0.5,0.7,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.2,0.3,0.4,0.7,0.9,0.8,0.7,0.5,0.4,0.4,,0.5,0.3,0.4,0.4,0.6,0.8,0.7,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.7
청원,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.8,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.6,0.7,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양,,,,,,,,,,,,,,,,,,,,,0.3,0.6,0.7,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.5,0.7,0.8,1.1,0.8,0.6,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.7,0.8,1,0.7,0.7,0.5,0.4,0.3,0.4,0.3,0.4,0.5,0.7,0.8,0.8,0.7,0.6,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.6,0.8,0.9,0.7,0.7,0.4,0.3,0.3,0.3,0.3,0.4,0.7,1.1,1.3,1.2,1,0.9,0.7,0.7,0.7,0.4,0.3,0.5,0.5,0.8,0.9,0.9,0.8,0.6,0.5,0.4,0.4,0.4,0.4,0.4,,0.8*,0.8,0.7,0.6,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7
진천,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.6,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.8,0.5,0.5,0.4,0.3,0.2,0.3,0.5,0.7,0.7,0.9,0.8,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.4*,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4
